timestamp,cpu_temp_c,gpu_temp_c,chip_max_temp_c,session_high_temp_c,cpu_sensor,gpu_sensor,chip_max_sensor,fan_id,fan_mode,fan_speed_rpm,fan_target_rpm,fan_min_rpm,fan_max_rpm
2026-06-07T11:44:25.984Z,71.26,63.22,83.67,83.67,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:46:53.942Z,69.34,65.32,87.19,87.19,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1351,1348,1000,4900
2026-06-07T11:46:57.219Z,74.67,65.92,88.31,88.31,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1323,1324,1000,4900
2026-06-07T11:47:00.218Z,76.33,66.24,87.03,88.31,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1297,1297,1000,4900
2026-06-07T11:47:03.334Z,75.96,67.38,90.69,90.69,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1273,1274,1000,4900
2026-06-07T11:47:06.334Z,69.66,66.36,76.06,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1256,1256,1000,4900
2026-06-07T11:47:09.270Z,69.06,66.01,72.41,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1236,1236,1000,4900
2026-06-07T11:47:12.271Z,69.12,65.98,71.50,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1211,1213,1000,4900
2026-06-07T11:47:15.334Z,68.68,65.75,72.64,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1187,1189,1000,4900
2026-06-07T11:47:18.271Z,68.58,65.69,71.62,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1160,1163,1000,4900
2026-06-07T11:47:21.338Z,66.98,66.58,73.16,90.69,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1134,1135,1000,4900
2026-06-07T11:47:24.275Z,69.86,66.14,85.19,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1103,1105,1000,4900
2026-06-07T11:47:27.338Z,70.21,66.15,86.09,90.69,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1071,1074,1000,4900
2026-06-07T11:47:30.467Z,75.38,66.57,91.00,91.00,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1039,1041,1000,4900
2026-06-07T11:47:33.530Z,75.99,67.38,92.48,92.48,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1006,1009,1000,4900
2026-06-07T11:47:36.469Z,71.71,67.34,82.44,92.48,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:47:39.661Z,74.95,67.77,85.02,92.48,CPU Die Average,GPU 22,CPU Die Max,1,Auto,999,1000,1000,4900
2026-06-07T11:47:42.345Z,74.89,68.31,92.08,92.48,CPU Die Average,GPU 8,CPU Die Max,1,Auto,1000,1000,1000,4900
2026-06-07T11:47:45.471Z,75.89,68.06,87.48,92.48,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1001,1000,1000,4900
2026-06-07T11:47:48.283Z,75.75,68.65,93.50,93.50,CPU Die Average,GPU 22,CPU Die Max,1,Auto,1000,1000,1000,4900
